name,country,sport,height
Katherine Gould,3,2,1.65
Mitchell Morrison,2,3,1.99
Lisa Garza,3,1,1.75
Nancy Kaufman,4,2,1.87
Lauren Carroll,4,1,1.62
Anthony Contreras,1,2,1.7
Sherry Arellano,1,2,2.06
Kara Doyle,2,1,1.67
Terry Dalton,1,3,2.18
Mr. David Hernandez,1,1,1.58
Amber Terry,1,2,1.91
Linda Johnson,1,3,2.1
Crystal Russell,3,2,1.92
Lisa Taylor,3,3,2.07
Christopher Hobbs,3,2,1.84
Dr. Jane Clark,2,1,1.91
Brenda Chandler,2,3,1.79
Cindy Sandoval,4,1,1.61
Christopher Wood,4,2,1.89
Alison Rodgers,2,2,1.8
Michael Werner,2,3,1.98
Jermaine Moreno,2,3,2.01
Nathan Wood,3,3,2.01
Elizabeth Lambert,2,2,1.88
Rachel Turner,1,3,1.94
Amber Parker,4,3,2.23
Cody Valdez,2,3,2.02
Jessica Meza,4,3,1.96
Joshua Sanders,1,2,1.66
Adam Moore,2,2,1.78
Tammy Mitchell,1,2,1.92
Tammy Fuller,1,3,2.14
Brooke Wagner,4,3,2.17
Mitchell Odom,3,2,2.06
Jeremy Lopez,4,1,1.68
Jeffrey James,1,3,1.99
Cassie Brock,1,1,1.75
Allison Thomas,1,3,1.81
Brian Cortez,1,3,2.08
Michael Eaton,4,3,1.96
Miss Monica Mclaughlin,1,1,1.79
James Caldwell DDS,2,1,1.77
Jessica Williams,1,2,1.92
Marc Tyler,1,3,2.16
Sandra Washington,4,1,1.8
Michelle Singleton,1,2,2.1
Ray Schultz,1,3,2.15
Angela Ross,2,3,2.21
Michael Harris,1,1,1.68
Steve French MD,1,1,1.68
Melvin Shaw,4,2,1.99
Brian Parrish,1,3,2.25
Steven Weiss,1,1,1.63
Barry Warren,2,3,1.91
Samuel Sanchez,3,1,1.69
Christopher Thomas,1,2,2.09
Allison Hardin,2,2,1.83
Savannah Rodriguez,1,1,1.8
Benjamin Bishop,1,2,1.81
Krista Knight,1,3,2.14
Lisa Harrison PhD,4,1,1.5
Michele Jennings,1,2,2.02
Michelle Odonnell DDS,1,2,1.76
Eric Francis,1,2,1.9
Jonathan Cunningham,1,2,1.86
Jessica Benson,4,1,1.68
Walter Lewis,1,3,1.92
Tina Santana,2,1,1.62
William Reese,2,2,2.01
Raymond Smith,1,2,1.82
Samuel Bowman,1,2,1.78
James Turner,3,3,1.69
Autumn Carr,1,2,1.74
Ashley Robinson,4,1,1.75
Robert Williams,2,1,1.68
Jillian Howard,1,3,2.15
James Gonzalez,2,1,1.8
Wendy Johnson,4,2,1.75
Tammy Nguyen,1,2,1.89
William Walker,3,2,1.99
Robert Day,1,1,1.65
Holly Johnson,1,2,1.93
Robert Campbell,1,2,1.87
Tonya Thomas,1,2,2.06
Monica Adams,2,1,1.79
Philip Gill,1,1,1.59
Jacqueline Price,2,1,1.71
Edwin Johnson,4,1,1.62
Amanda Marshall,3,1,1.79
Stephen Parsons,1,2,2.05
Selena Davis,1,3,1.91
Craig Ochoa,1,3,1.96
Eric Morales,1,3,1.76
Erin Gomez,1,2,1.87
Alan Sanders,4,1,1.66
Dana Wilson,3,3,1.94
Jonathan Cruz,4,1,1.89
Tracy Martin,1,3,1.87
Susan Higgins,1,1,1.66
Michelle White,1,1,1.58
Jacqueline Baker,1,3,2.15
Ronald Robinson,4,3,1.83
Mary Johnson,1,3,1.89
Anthony Chapman,1,1,1.84
Sherry Hines,4,1,1.54
Robin Hall,1,1,1.77
Cynthia Barajas,1,1,1.81
Casey Thomas,1,1,1.72
Christopher Manning,2,1,1.71
Troy Perez,1,3,1.86
Stacy Farmer,1,1,1.5
Jennifer Young,1,3,1.91
Joseph Riddle MD,1,3,2.27
Mark Fields,1,2,1.94
Dr. Dominique Hughes,1,1,1.6
John Jimenez,1,1,1.75
Cheryl Gibson,2,3,2.14
Robert Andrews,2,1,1.73
Amanda Hill,1,1,1.67
Alex Beltran,3,3,2.02
Steven Coleman,4,1,1.91
Joseph Brown,1,2,2.09
Sean Silva,1,2,2.05
Linda Martin,3,3,2.07
Debra Hernandez,1,1,1.77
Matthew Bauer,1,1,1.81
Tonya Stone,2,2,1.81
Tyler Lawrence,1,3,2.08
Alicia Rogers,1,1,1.67
Amanda Harvey,1,1,1.72
Margaret Gomez,1,2,1.7
Tonya Taylor,4,2,1.72
Julie Hunter MD,4,2,1.92
Richard Brown,3,3,1.89
Deborah Dixon,2,3,1.98
Marissa Tate,1,2,1.92
Jeremiah Bowers,1,1,1.74
Haley Doyle,1,2,1.77
Brooke Perkins,2,2,2.05
George Burns,2,1,1.66
Joan Parker,1,3,2.13
Jason Dyer,2,2,1.92
Kimberly Williams,1,1,1.67
Kenneth Harris,1,1,1.65
